	cherry1	cherry2	gallium1	gallium2
Mca00219	4	6	8	9
Mca00220	613	820	706	784
Mca00221	44	63	123	141
Mca00222	949	1451	1430	1497
Mca00223	54210	62420	51304	71498
Mca00224	1720	2411	2443	2815
Mca00225	479	617	870	1091
Mca00226	500	718	755	935
Mca00227	3473	4423	3866	5084
Mca00228	505	529	654	986
Mca00229	2303	2896	1994	2121
Mca00230	2	5	17	7
Mca00231	2416	3001	1443	1817
Mca00232	178	225	143	209
Mca00233	4	4	2	0
Mca00234	0	1	0	0
Mca00235	898	1151	900	889
Mca00236	509	736	811	1116
Mca00237	0	4	2	1
Mca00238	3	22	14	15
Mca00239	21	27	27	45
Mca00240	513	569	776	1236
Mca00241	173	199	259	286
Mca00242	36	36	12	23
Mca00243	6	11	45	3
Mca00244	845	1282	1211	1724
Mca00245	26	37	40	38
Mca00246	4	23	30	34
Mca00247	0	0	0	2
Mca00248	0	0	0	0
Mca00249	614	940	713	707
Mca00250	6	3	4	7
Mca00251	30	48	58	81
Mca00252	227	340	466	705
Mca00253	2758	2915	2746	3472
Mca00254	0	0	0	0
Mca00255	76	160	147	166
Mca00256	138	190	189	203
Mca00257	12	21	8	23
Mca00258	85	104	106	124
Mca00259	37	47	52	61
Mca00260	13	34	52	29
Mca00261	11	18	25	19
Mca00262	0	0	4	0
Mca00263	0	0	0	0
Mca00264	0	0	0	0
Mca00265	0	0	0	0
Mca00266	0	0	0	2
Mca00267	0	0	1	0
Mca00268	0	0	1	0
Mca00269	0	0	1	0
Mca00270	3	2	6	8
Mca00271	2	0	2	1
Mca00272	261	439	722	852
Mca00273	3	3	10	12
Mca00274	3	3	10	12
Mca00275	74	133	238	188
Mca00276	247	279	264	344
Mca00277	891	1160	1705	1948
Mca00278	3893	4796	3220	3423
Mca00279	238	344	266	343
Mca00280	1543	2078	3527	4163
Mca00281	40	96	177	166
Mca00282	0	0	0	0
Mca00283	96	146	133	189
Mca00284	705	1104	1313	1630
Mca00285	0	2	4	7
Mca00286	0	0	0	0
Mca00287	0	0	0	0
Mca00288	0	0	0	1
Mca00289	0	0	2	0
Mca00290	0	0	0	0
Mca00291	26	30	20	23
Mca00292	5	5	0	2
Mca00293	7	5	0	3
Mca00294	7	5	0	3
Mca00295	7	5	0	3
Mca00296	7	6	0	3
Mca00297	163	288	313	405
Mca00298	0	0	0	0
Mca00299	0	0	0	1
Mca00300	0	0	0	1
Mca00301	0	0	2	0
Mca00302	2	5	1	3
Mca00303	0	0	0	0
Mca00304	0	0	0	0
Mca00305	50	93	57	67
Mca00306	5	6	4	6
Mca00307	266	358	311	346
Mca00308	1	3	1	4
Mca00309	49	130	285	339
Mca00310	2	3	4	6
Mca00311	0	0	5	2
Mca00312	0	0	2	1
Mca00313	1	0	0	0
Mca00314	227	466	296	430
Mca00315	3227	4487	532	406
Mca00316	1063	1506	1425	1609
Mca00317	598	835	1233	1249
Mca00318	369	587	442	646
Mca00319	8	15	19	26
Mca00320	112	190	221	307
Mca00321	1272	1728	2481	3530
Mca00322	0	0	0	0
Mca00323	2	0	0	1
Mca00324	9	12	24	33
Mca00325	0	0	0	0
Mca00326	0	0	0	0
Mca00327	0	0	0	0
Mca00328	4	5	7	8
Mca00329	26	54	57	77
Mca00330	2769	4577	4960	5099
Mca00331	7	20	26	20
Mca00332	6	10	12	7
Mca00333	3	5	10	4
Mca00334	0	1	2	0
Mca00335	7	12	36	54
Mca00336	1517	1969	2569	3545
Mca00337	166	284	139	217
Mca00338	11	29	13	18
Mca00339	0	0	0	0
Mca00340	0	0	0	0
Mca00341	0	0	0	0
Mca00342	0	0	0	0
Mca00343	399	612	817	918
Mca00344	71	122	139	177
Mca00345	952	1264	1089	1387
Mca00346	1	0	0	0
Mca00347	0	0	0	1
Mca00348	0	0	2	1
Mca00349	0	2	0	1
Mca00350	20	39	29	51
Mca00351	556	929	1054	1208
Mca00352	8	2	14	12
Mca00353	2	0	0	0
Mca00354	8	6	7	9
Mca00355	925	1124	680	1012
Mca00356	1197	1499	866	1067
Mca00357	409	558	340	359
Mca00358	2	4	5	2
Mca00359	0	0	0	2
Mca00360	2	3	5	6
Mca00361	2	3	0	1
Mca00362	2	2	0	1
Mca00363	0	0	4	3
Mca00364	729	932	605	845
Mca00365	4958	7419	6458	6429
Mca00366	0	0	6	0
Mca00367	867	1190	1311	1438
Mca00368	672	813	944	1346
Mca00369	110	119	110	144
Mca00370	199	289	246	313
Mca00371	54	90	118	134
Mca00372	518	689	413	351
Mca00373	389	584	541	739
Mca00374	733	934	760	995
Mca00375	874	1102	1271	1498
Mca00376	2698	3399	3648	4341
Mca00377	254	372	336	355
Mca00378	3540	4818	4621	5530
Mca00379	6	13	14	20
Mca00380	4	9	4	10
Mca00381	1	2	3	7
Mca00382	162	287	574	780
Mca00383	3	2	5	6
Mca00384	696	1220	1425	1694
Mca00385	902	1302	819	920
Mca00386	1803	2326	1679	2019
Mca00387	687	1041	985	1025
Mca00388	10	6	4	6
Mca00389	7	22	19	39
Mca00390	810	1392	1595	1858
Mca00391	14	29	17	15
Mca00392	30	79	47	46
Mca00393	8	16	12	15
Mca00394	0	0	0	0
Mca00395	0	0	0	0
Mca00396	0	0	0	0
Mca00397	0	0	0	0
Mca00398	0	0	0	0
Mca00399	0	0	0	0
Mca00400	0	0	0	0
Mca00401	3	1	3	2
Mca00402	0	1	4	0
Mca00403	3	11	10	16
Mca00404	1	1	1	3
Mca00405	3	1	1	3
Mca00406	33	69	72	95
Mca00407	399	544	619	703
Mca00408	0	0	0	0
Mca00409	5	12	25	26
Mca00410	71	113	182	258
Mca00411	19	23	36	45
Mca00412	21	36	40	49
Mca00413	19	23	40	45
Mca00414	271	392	664	1045
Mca00415	0	0	0	5
Mca00416	25	55	25	63
Mca00417	27	47	34	39
Mca00418	9	7	7	6
Mca00419	4	6	1	4
Mca00420	4	10	5	10
Mca00421	9	11	4	16
Mca00422	2	4	3	4
Mca00423	0	0	0	0
Mca00424	167	289	383	505
Mca00425	14	15	12	35
Mca00426	14	24	27	38
Mca00427	1	4	2	0
Mca00428	339	393	625	622
Mca00429	0	3	0	0
Mca00430	1	2	3	5
Mca00431	3	11	25	31
Mca00432	1	3	3	2
Mca00433	633	1012	1337	1536
Mca00434	1909	2369	2035	2283
Mca00435	808	1042	1147	1783
Mca00436	805	1035	693	772
Mca00437	4214	5388	3056	2909
Mca00438	422	728	592	696
Mca00439	0	1	0	2
Mca00440	0	0	0	0
Mca00441	46	74	119	138
Mca00442	7	10	8	11
Mca00443	30	40	79	117
Mca00444	886	1201	923	1097
Mca00445	219	214	331	431
Mca00446	250	313	317	326
Mca00447	1685	2411	2289	2665
Mca00448	4	4	2	0
Mca00449	20	44	54	54
Mca00450	12	21	36	52
Mca00451	11	20	30	45
Mca00452	2	13	9	23
Mca00453	8	2	6	9
Mca00454	0	0	0	0
Mca00455	2	2	0	0
Mca00456	0	0	0	0
Mca00457	1701	1967	2385	2924
Mca00458	50	58	64	73
Mca00459	1	1	3	3
Mca00460	6	7	20	17
Mca00461	1	2	1	2
Mca00462	0	0	0	0
Mca00463	1153	1484	1252	1525
Mca00464	0	0	0	0
Mca00465	0	0	0	0
Mca00466	0	0	0	0
Mca00467	0	0	0	0
Mca00468	0	0	0	0
Mca00469	0	0	2	0
Mca00470	0	0	0	0
Mca00471	0	0	0	0
Mca00472	0	0	0	2
Mca00473	476	746	891	1081
Mca00474	6	6	7	12
Mca00475	4	22	7	3
Mca00476	77	78	53	78
