	cherry1	cherry2	gallium1	gallium2
Mca07049	18643	21914	19445	20102
Mca07050	8691	10108	7812	8375
Mca07051	0	0	0	0
Mca07052	1429	2101	2446	2952
Mca07053	346	548	1302	1444
Mca07054	283	334	315	319
Mca07055	691	954	922	1107
Mca07056	21017	25240	22750	30146
Mca07057	756	1042	735	804
Mca07058	25	31	47	48
Mca07059	13655	17655	10274	11630
Mca07060	0	5	1	13
Mca07061	0	0	0	0
Mca07062	23	72	66	59
Mca07063	0	0	0	0
Mca07064	0	0	0	0
Mca07065	46	45	107	138
Mca07066	1001	1363	1376	1541
Mca07067	62	85	69	79
Mca07068	20	52	115	95
Mca07069	27	80	52	55
Mca07070	154	237	173	220
Mca07071	252	443	295	320
Mca07072	3	12	18	28
Mca07073	822	1301	1573	1741
Mca07074	0	0	0	0
Mca07075	1132	1334	2069	2610
Mca07076	2287	3501	3338	3798
Mca07077	0	0	0	0
Mca07078	2347	3390	2562	2828
Mca07079	0	0	0	0
Mca07080	0	0	0	0
Mca07081	112	143	115	150
Mca07082	6951	8897	6901	8397
Mca07083	5325	6295	4739	5268
Mca07084	469	610	761	902
Mca07085	8	10	55	36
Mca07086	0	0	1	0
Mca07087	70	74	120	136
Mca07088	0	0	0	0
Mca07089	2	8	7	9
Mca07090	45	43	65	79
Mca07091	642	700	848	997
Mca07092	0	0	0	0
Mca07093	5	4	6	16
Mca07094	28	38	30	30
Mca07095	3547	4158	3906	4308
Mca07096	471	486	520	558
Mca07097	674	960	854	912
Mca07098	3	0	6	0
Mca07099	1050	1378	785	753
Mca07100	31	69	23	40
Mca07101	2181	3628	2118	2497
Mca07102	32	47	55	73
Mca07103	846	1193	1485	1771
Mca07104	992	1065	1456	2320
Mca07105	138	205	321	440
Mca07106	50480	67007	52114	58251
Mca07107	2568	4133	2645	2641
Mca07108	396	507	735	819
Mca07109	10	8	31	38
Mca07110	686	1006	1124	1360
Mca07111	30	35	51	65
Mca07112	2	3	0	8
Mca07113	5	7	13	16
Mca07114	6	16	15	23
Mca07115	92	111	320	287
Mca07116	271	539	1101	1292
Mca07117	187	369	876	1093
Mca07118	889	1308	765	863
Mca07119	1	0	5	9
Mca07120	25	54	74	138
Mca07121	300	419	595	694
Mca07122	2	7	4	13
Mca07123	26	64	84	97
Mca07124	67	110	174	211
Mca07125	0	4	2	0
Mca07126	0	0	1	4
Mca07127	2	1	12	8
Mca07128	1052	1224	1172	1369
Mca07129	3922	5296	5031	6439
Mca07130	1552	2047	1306	1371
Mca07131	4577	6013	4709	4612
Mca07132	0	1	0	0
Mca07133	0	0	1	0
Mca07134	139	168	133	121
Mca07135	38	37	30	32
Mca07136	160	215	173	197
Mca07137	0	0	0	0
Mca07138	0	0	0	0
Mca07139	196	233	298	318
Mca07140	556	692	338	315
Mca07141	352	568	575	479
Mca07142	1373	1592	1273	1542
Mca07143	8	8	16	7
Mca07144	731	918	627	626
Mca07145	0	0	0	0
Mca07146	0	0	0	4
Mca07147	0	0	0	0
Mca07148	23	23	66	72
Mca07149	521	633	830	894
Mca07150	1347	1668	1278	1466
Mca07151	554	605	653	724
Mca07152	647	1148	1150	1684
Mca07153	0	2	4	8
Mca07154	3476	4442	4005	4627
Mca07155	0	4	3	12
Mca07156	10039	13306	7246	9559
Mca07157	479	895	807	917
Mca07158	1602	2375	1777	1650
Mca07159	248	381	267	256
Mca07160	0	5	1	7
Mca07161	3	3	14	9
Mca07162	15	11	38	64
Mca07163	5	12	20	20
Mca07164	597	850	715	932
Mca07165	0	0	0	0
Mca07166	0	3	4	4
Mca07167	18	30	41	41
Mca07168	7	6	19	20
Mca07169	61	75	152	192
Mca07170	13	20	45	59
Mca07171	2	0	0	0
Mca07172	0	0	0	0
Mca07173	1804	2221	409	428
Mca07174	521	772	398	384
Mca07175	0	4	12	22
Mca07176	3625	4815	2656	4431
Mca07177	0	0	2	0
Mca07178	0	0	0	0
Mca07179	0	0	0	0
Mca07180	664	730	646	822
Mca07181	98	89	68	72
Mca07182	3	3	2	3
Mca07183	227	398	431	450
Mca07184	3	0	1	2
Mca07185	721	1026	757	920
Mca07186	1048	1593	1454	1991
Mca07187	0	0	1	1
Mca07188	116	171	318	400
Mca07189	1150	1727	1457	1661
Mca07190	5163	6433	6495	8553
Mca07191	73	91	138	202
Mca07192	132	173	131	64
Mca07193	0	0	0	0
Mca07194	0	0	0	1
Mca07195	0	2	0	2
Mca07196	28	64	74	69
Mca07197	457	900	888	1122
Mca07198	0	0	0	2
Mca07199	0	0	0	0
Mca07200	2502	3434	877	837
Mca07201	1348	2314	4881	5810
Mca07202	2	3	8	4
Mca07203	23	21	21	36
Mca07204	590	962	845	1337
Mca07205	2627	3354	1670	1904
Mca07206	12815	15873	12679	13145
Mca07207	550	842	190	187
Mca07208	11	8	7	7
Mca07209	4	22	15	16
Mca07210	376	619	509	642
Mca07211	28	37	49	74
Mca07212	0	0	0	0
Mca07213	0	2	0	0
Mca07214	7	21	9	12
Mca07215	1	4	1	9
Mca07216	43	88	48	110
Mca07217	37	61	31	39
Mca07218	0	0	2	0
Mca07219	0	0	0	0
Mca07220	2	0	6	0
Mca07221	0	0	0	0
Mca07222	0	0	0	0
Mca07223	2	0	0	0
Mca07224	0	0	0	0
Mca07225	0	0	0	0
Mca07226	0	0	0	0
Mca07227	0	4	0	0
Mca07228	0	0	0	0
Mca07229	0	0	0	0
Mca07230	0	0	0	0
Mca07231	0	0	2	0
Mca07232	0	0	0	2
Mca07233	0	0	0	0
Mca07234	3	6	7	6
Mca07235	4	4	2	1
Mca07236	464	651	787	845
Mca07237	806	1385	1427	1957
Mca07238	50	83	51	46
Mca07239	1892	2679	2230	2495
Mca07240	0	0	8	16
Mca07241	1	0	9	8
Mca07242	39	46	25	16
Mca07243	0	6	2	9
Mca07244	0	0	4	5
Mca07245	0	0	4	2
Mca07246	0	0	0	0
Mca07247	5	3	3	7
Mca07248	0	0	0	0
Mca07249	6	10	14	18
Mca07250	15	22	13	28
Mca07251	51	67	65	94
Mca07252	11	11	19	18
Mca07253	89	127	227	315
Mca07254	4648	5639	4463	4984
Mca07255	688	906	635	662
Mca07256	40	89	47	93
Mca07257	0	0	0	0
Mca07258	0	0	0	2
Mca07259	2	0	8	8
Mca07260	20	46	50	67
Mca07261	0	0	0	0
Mca07262	0	0	0	0
Mca07263	0	0	0	0
Mca07264	2	12	12	14
Mca07265	0	0	0	0
Mca07266	0	2	0	4
Mca07267	423	700	622	778
Mca07268	2158	2750	1776	1919
Mca07269	29	48	51	64
Mca07270	19130	26513	14580	15427
Mca07271	97	125	211	216
Mca07272	29	51	52	49
Mca07273	1519	2102	3426	3696
Mca07274	33	54	27	48
Mca07275	662	864	863	933
Mca07276	7	14	9	5
Mca07277	28	28	15	31
Mca07278	1502	1803	1255	1703
Mca07279	1326	1861	2121	3106
Mca07280	317	530	510	716
Mca07281	87	108	103	82
Mca07282	121	141	232	191
Mca07283	291	328	426	497
Mca07284	13	25	46	45
Mca07285	120	204	22	185
Mca07286	2	7	2	1
Mca07287	6	12	29	23
Mca07288	255	438	343	417
Mca07289	2729	4040	5130	8485
Mca07290	783	1219	1555	1868
Mca07291	133	141	135	177
Mca07292	13	22	30	24
Mca07293	115	159	342	396
Mca07294	67	88	83	99
Mca07295	975	1368	1308	1390
Mca07296	2302	3071	1583	1597
Mca07297	0	0	2	2
Mca07298	2	7	11	9
Mca07299	0	2	2	2
Mca07300	0	0	0	1
Mca07301	0	0	0	4
Mca07302	0	0	0	0
Mca07303	9	23	45	69
Mca07304	16	24	52	70
Mca07305	7504	9029	7050	7013
Mca07306	5	0	20	8
Mca07307	1	0	0	0
Mca07308	0	0	0	2
Mca07309	52	96	97	132
Mca07310	0	0	0	0
Mca07311	12	8	2	2
Mca07312	282	431	461	463
Mca07313	51	91	136	226
Mca07314	1	1	2	7
Mca07315	7	15	16	25
Mca07316	0	0	0	0
Mca07317	0	0	0	0
Mca07318	0	0	0	0
Mca07319	0	0	0	2
Mca07320	64	94	2	4
Mca07321	20	42	0	0
Mca07322	835	1155	1309	1707
Mca07323	6716	8912	1420	1199
Mca07324	50	68	52	79
Mca07325	26	63	42	66
Mca07326	684	882	594	612
Mca07327	876	1211	1178	1452
Mca07328	33	64	55	64
Mca07329	7	11	12	11
Mca07330	7	11	12	11
Mca07331	38	43	58	52
Mca07332	0	0	0	0
Mca07333	0	0	2	0
Mca07334	0	0	0	0
Mca07335	7	2	10	21
Mca07336	27	26	93	96
Mca07337	291	454	457	459
Mca07338	18	36	6	2
Mca07339	615	855	2103	2771
Mca07340	12415	16656	8445	7884
Mca07341	0	0	0	2
Mca07342	0	0	0	0
Mca07343	2404	2666	1912	2144
Mca07344	3493	5159	8154	9629
Mca07345	839	1155	1006	1040
Mca07346	208	268	241	360
Mca07347	613	990	1227	1392
Mca07348	14	20	16	19
Mca07349	14	20	15	19
Mca07350	5	5	11	4
Mca07351	92	157	141	203
Mca07352	1	7	4	5
Mca07353	3	9	2	3
Mca07354	8967	10513	10219	13102
Mca07355	6	2	6	18
Mca07356	0	0	4	2
Mca07357	0	0	0	0
Mca07358	4	2	2	0
Mca07359	0	0	0	0
Mca07360	0	0	0	0
Mca07361	0	0	0	2
Mca07362	2	6	2	8
Mca07363	10880	14237	10269	13285
Mca07364	5663	6819	4457	5308
Mca07365	0	0	4	2
Mca07366	0	0	0	0
Mca07367	0	0	0	0
Mca07368	2	9	13	24
Mca07369	0	0	0	2
Mca07370	723	1250	991	1228
Mca07371	0	0	3	0
Mca07372	11	10	32	25
Mca07373	1	0	2	4
Mca07374	119	287	682	723
Mca07375	2	4	8	3
Mca07376	10	25	24	16
Mca07377	1998	2657	1833	2244
Mca07378	765	1039	728	651
Mca07379	12	33	25	23
Mca07380	0	0	0	0
Mca07381	4	18	8	24
Mca07382	2202	2797	2741	3814
Mca07383	1914	2718	1681	2218
Mca07384	797	1028	1724	2441
Mca07385	2	0	3	0
Mca07386	0	0	0	0
Mca07387	0	2	0	4
Mca07388	0	0	0	0
Mca07389	3630	5023	4373	5541
Mca07390	876	1238	1083	1352
Mca07391	0	0	0	0
Mca07392	119	265	231	268
Mca07393	3	11	2	2
Mca07394	1	0	0	0
Mca07395	0	0	0	0
Mca07396	0	0	0	0
Mca07397	0	0	0	0
Mca07398	0	0	0	0
Mca07399	0	0	2	2
Mca07400	18	24	30	52
Mca07401	8	16	30	34
Mca07402	0	0	0	0
Mca07403	125	185	311	398
Mca07404	131	179	311	404
Mca07405	710	998	1253	1068
Mca07406	437	695	804	572
Mca07407	0	0	0	0
Mca07408	0	0	0	0
Mca07409	0	0	0	0
Mca07410	0	0	0	0
Mca07411	4553	6010	4216	4421
Mca07412	466	649	664	723
Mca07413	2712	3569	3978	5014
Mca07414	83	110	121	257
Mca07415	36	43	17	11
Mca07416	321	463	241	196
Mca07417	864	1248	1202	1534
Mca07418	515	625	602	681
Mca07419	1119	1775	1778	2415
Mca07420	396	530	634	830
Mca07421	434	613	445	467
Mca07422	5296	7070	9411	11285
Mca07423	699	974	626	624
Mca07424	5	22	9	11
Mca07425	0	5	0	4
Mca07426	0	0	2	1
Mca07427	124	161	127	166
Mca07428	0	8	6	7
Mca07429	970	1223	1623	1875
Mca07430	559	851	793	850
Mca07431	8	6	7	6
Mca07432	1527	2309	3216	3810
Mca07433	820	1057	782	800
Mca07434	60	96	214	218
Mca07435	1241	2093	2259	2670
Mca07436	0	0	0	0
Mca07437	4	6	2	0
Mca07438	0	0	0	2
Mca07439	0	0	0	0
Mca07440	0	0	0	0
Mca07441	4177	6237	6563	7543
Mca07442	2	6	2	4
Mca07443	6	6	2	6
Mca07444	0	0	0	0
Mca07445	0	0	0	0
Mca07446	1107	1553	1140	1387
Mca07447	897	1156	928	1021
Mca07448	754	1078	778	805
Mca07449	164	262	228	299
Mca07450	10	21	26	23
Mca07451	196	202	216	304
Mca07452	104	171	165	148
Mca07453	59	139	100	81
Mca07454	14	22	30	26
Mca07455	6	14	10	11
Mca07456	280	410	372	287
Mca07457	369	580	513	445
Mca07458	206	333	367	623
Mca07459	5	6	8	15
Mca07460	0	0	1	0
Mca07461	524	660	287	469
Mca07462	792	1114	1469	1327
Mca07463	247	308	446	566
Mca07464	0	2	0	0
Mca07465	1049	1659	1428	1846
Mca07466	453	615	489	599
Mca07467	468	571	867	1025
Mca07468	1315	1564	2075	2343
Mca07469	976	1325	2606	3374
Mca07470	0	0	0	0
Mca07471	0	0	4	3
Mca07472	657	904	618	812
Mca07473	1611	2358	2309	2657
Mca07474	499	698	686	784
Mca07475	1243	1510	1787	2014
Mca07476	446	489	557	749
Mca07477	15	23	23	21
Mca07478	1	1	2	2
Mca07479	1036	1602	1492	1791
Mca07480	19695	24645	14628	15110
Mca07481	420	626	390	323
Mca07482	1465	1871	739	784
Mca07483	0	1	0	1
Mca07484	0	1	2	1
Mca07485	3	9	5	13
Mca07486	0	0	0	0
Mca07487	22	22	46	54
Mca07488	1579	1922	1818	1961
Mca07489	0	0	4	4
Mca07490	0	0	2	0
Mca07491	0	0	0	2
Mca07492	3	8	9	5
Mca07493	11	16	30	28
Mca07494	0	0	0	0
Mca07495	14	18	26	18
Mca07496	4	0	0	0
Mca07497	1	4	5	1
Mca07498	0	0	0	0
Mca07499	21	64	86	112
Mca07500	37710	51746	14120	22833
Mca07501	21	57	103	126
Mca07502	121	201	148	183
Mca07503	1150	1452	1246	1284
Mca07504	1495	1832	1618	1650
Mca07505	4	6	9	10
Mca07506	2	0	4	6
Mca07507	0	2	1	1
Mca07508	0	0	0	0
Mca07509	24	38	129	97
Mca07510	8	14	27	27
Mca07511	0	0	0	0
Mca07512	50	95	108	205
Mca07513	0	0	0	0
Mca07514	105373	128937	8919	3299
Mca07515	707	700	100	78
Mca07516	6419	6578	1215	1031
Mca07517	1	0	0	0
Mca07518	1406	2411	2761	2843
Mca07519	0	0	0	0
Mca07520	0	3	4	2
Mca07521	5	10	19	21
Mca07522	473	685	684	777
Mca07523	1100	1556	925	977
Mca07524	80	186	217	230
Mca07525	3588	4802	4764	5602
Mca07526	3309	5172	4564	5581
Mca07527	24	49	39	43
Mca07528	0	0	0	0
Mca07529	5755	8930	5542	6091
Mca07530	2061	3016	2647	3151
Mca07531	0	0	0	2
Mca07532	192	310	696	891
Mca07533	5005	7105	7082	8696
Mca07534	690	951	856	934
Mca07535	16	20	10	28
Mca07536	2	2	2	0
Mca07537	0	0	1	0
Mca07538	2465	2956	4293	4053
Mca07539	0	0	0	0
Mca07540	1119	1509	1344	1652
Mca07541	2	10	8	14
Mca07542	0	0	0	0
Mca07543	0	0	1	0
Mca07544	20	26	30	38
Mca07545	239	390	662	789
Mca07546	0	0	1	2
Mca07547	0	0	0	0
Mca07548	0	0	0	0
Mca07549	2	4	12	6
Mca07550	727	980	1020	1252
Mca07551	187	314	454	539
Mca07552	1331	1850	5283	7004
Mca07553	0	0	2	0
Mca07554	0	0	0	0
Mca07555	1462	2107	2649	3040
Mca07556	1907	2643	1784	2019
Mca07557	2199	2875	2897	3979
Mca07558	560	775	525	801
Mca07559	75	123	134	157
Mca07560	552	750	1004	1250
Mca07561	521	791	916	1207
Mca07562	9	8	12	6
Mca07563	85	96	14	37
Mca07564	63	46	35	32
Mca07565	0	11	6	7
Mca07566	407	611	1141	1450
Mca07567	310	469	1237	1529
Mca07568	46	62	154	165
Mca07569	0	0	2	0
Mca07570	8	5	18	12
Mca07571	0	0	0	1
Mca07572	2	4	5	13
Mca07573	2361	3055	2917	4172
Mca07574	4	0	0	0
Mca07575	0	0	0	0
Mca07576	0	0	0	0
Mca07577	0	0	0	0
Mca07578	27111	30299	27359	37093
Mca07579	34152	39750	35627	45643
Mca07580	96	112	138	172
Mca07581	2	3	6	6
Mca07582	1820	2382	2637	3022
Mca07583	2257	2720	2590	3208
Mca07584	814	1046	887	1106
Mca07585	1213	1572	1487	1773
Mca07586	20	14	29	33
Mca07587	2551	3540	4251	5268
Mca07588	4635	5382	3853	4409
Mca07589	23	31	23	32
Mca07590	138	157	233	259
Mca07591	195	294	327	339
Mca07592	2	3	5	2
Mca07593	742	949	660	677
Mca07594	2	0	0	0
Mca07595	0	0	0	0
Mca07596	429	647	490	612
Mca07597	855	1297	1195	1457
Mca07598	2009	2403	3169	3586
Mca07599	194	339	500	545
Mca07600	0	0	0	0
Mca07601	0	0	0	0
Mca07602	0	0	0	0
Mca07603	1	0	0	0
Mca07604	2	2	0	6
Mca07605	0	0	0	0
Mca07606	0	2	0	0
Mca07607	0	0	0	0
Mca07608	0	0	0	1
Mca07609	0	0	0	1
Mca07610	0	0	1	1
Mca07611	404	641	636	747
Mca07612	28232	34389	21397	28229
Mca07613	659	1061	1182	1309
Mca07614	8	33	14	17
Mca07615	1134	1450	1052	1533
Mca07616	353	643	798	749
Mca07617	0	0	0	0
Mca07618	319	420	708	926
Mca07619	1925	2718	3516	4186
Mca07620	4	2	0	7
Mca07621	324	429	324	470
Mca07622	27769	30710	22725	30180
Mca07623	0	0	0	0
Mca07624	999	1493	1613	1919
Mca07625	1920	2463	1744	1822
Mca07626	357	519	629	738
Mca07627	0	0	0	0
Mca07628	0	0	0	0
Mca07629	405	574	1079	1500
Mca07630	5048	6760	4330	4489
Mca07631	709	919	934	1275
Mca07632	1625	2097	2171	2861
Mca07633	117	131	143	135
Mca07634	151	186	152	122
Mca07635	0	0	0	0
Mca07636	2	0	3	1
Mca07637	63	168	129	186
Mca07638	2	5	4	4
Mca07639	0	0	2	0
Mca07640	622	757	607	763
Mca07641	322	552	422	407
Mca07642	0	0	0	0
Mca07643	6	14	1	12
Mca07644	0	1	0	0
Mca07645	1660	2114	1739	2171
Mca07646	5093	6447	5393	6301
Mca07647	305	503	449	499
Mca07648	1008	1394	1202	1608
Mca07649	374	577	729	858
Mca07650	0	0	4	1
Mca07651	661	940	2029	2645
Mca07652	36	48	77	77
Mca07653	0	0	0	2
Mca07654	693	938	888	951
Mca07655	57	97	92	128
Mca07656	256	450	290	369
Mca07657	2378	3495	3516	4099
Mca07658	1447	1854	1438	1499
Mca07659	296	540	465	609
Mca07660	330	596	522	548
Mca07661	79	139	126	198
Mca07662	44	87	62	71
Mca07663	1905	2706	2655	3304
Mca07664	0	0	0	0
Mca07665	7	11	10	21
Mca07666	0	0	0	0
Mca07667	32	34	47	50
Mca07668	1	1	5	5
Mca07669	1008	1685	1260	1409
Mca07670	0	10	8	17
Mca07671	586	939	860	1017
Mca07672	0	0	0	0
Mca07673	0	0	2	2
Mca07674	359	441	488	514
Mca07675	785	1148	210	177
Mca07676	0	0	4	0
Mca07677	4069	5342	4088	4666
Mca07678	1045	1446	829	999
Mca07679	0	0	0	0
Mca07680	0	0	0	0
Mca07681	56	83	113	147
Mca07682	146402	187673	73510	60701
Mca07683	98	127	121	141
Mca07684	985	1270	1612	1916
Mca07685	2901	4292	4080	4285
Mca07686	17	31	31	35
Mca07687	143	306	301	273
Mca07688	2	5	6	5
Mca07689	0	0	0	0
Mca07690	794	993	932	1197
Mca07691	0	4	14	22
Mca07692	4	5	33	30
Mca07693	0	0	2	6
Mca07694	0	0	0	1
Mca07695	5	4	5	4
Mca07696	7	4	16	20
Mca07697	0	0	0	0
Mca07698	95	131	85	95
Mca07699	374	529	1231	1599
Mca07700	754	982	1991	2603
Mca07701	3	6	0	0
Mca07702	0	0	0	0
Mca07703	0	0	0	0
Mca07704	0	2	2	2
Mca07705	2	7	2	8
Mca07706	99	149	104	154
Mca07707	318	431	507	670
Mca07708	55	65	69	63
Mca07709	4	9	4	9
Mca07710	2508	3524	4751	6255
Mca07711	29	80	88	104
Mca07712	111	195	235	376
Mca07713	0	0	0	0
Mca07714	160	248	184	196
Mca07715	971	1457	1157	1289
Mca07716	1268	1536	2046	1891
Mca07717	14	19	29	127
Mca07718	594	1135	1338	1563
Mca07719	542	772	817	1019
Mca07720	5	18	22	22
Mca07721	0	0	0	0
Mca07722	0	2	1	0
Mca07723	0	0	0	0
Mca07724	0	0	0	4
Mca07725	0	0	2	0
Mca07726	72048	88161	69741	96622
Mca07727	826	1243	1282	1489
Mca07728	551	636	448	593
Mca07729	22255	26261	22465	33215
Mca07730	457	642	820	1174
Mca07731	882	1016	1244	1429
Mca07732	45	77	64	77
Mca07733	38	69	87	77
Mca07734	543	760	627	656
Mca07735	10	16	15	15
Mca07736	0	0	2	0
Mca07737	221	428	544	691
Mca07738	3	4	4	19
Mca07739	48	82	34	31
Mca07740	793	971	1014	1290
Mca07741	864	1101	705	783
Mca07742	3446	4399	4258	5192
Mca07743	29	34	25	22
Mca07744	2328	2748	1125	658
Mca07745	49	133	157	218
Mca07746	0	0	0	0
Mca07747	0	2	2	0
Mca07748	0	4	0	0
Mca07749	0	0	0	0
Mca07750	0	0	0	0
Mca07751	418	577	633	724
Mca07752	1613	2182	1925	2590
Mca07753	35	30	18	44
Mca07754	1015	1714	1890	2755
Mca07755	30	17	26	18
Mca07756	0	0	0	4
Mca07757	1085	1855	1711	2391
Mca07758	0	0	0	0
Mca07759	0	0	0	0
Mca07760	0	0	0	0
Mca07761	0	0	0	0
Mca07762	2904	4108	3803	4432
Mca07763	0	0	0	0
Mca07764	0	0	0	0
Mca07765	74	117	306	413
Mca07766	11	8	3	6
Mca07767	2	5	1	0
Mca07768	55	84	17	30
Mca07769	3	3	1	1
Mca07770	1005	1274	1035	994
Mca07771	1267	1624	1831	2039
Mca07772	8	26	24	30
Mca07773	1046	1391	1200	1436
Mca07774	22	23	38	38
Mca07775	789	1013	1890	2778
Mca07776	72	123	58	74
Mca07777	2	8	22	33
Mca07778	12	8	2	4
Mca07779	0	0	0	0
Mca07780	2051	3098	2215	2808
Mca07781	413	634	313	286
Mca07782	1105	1732	1438	1704
Mca07783	84	113	126	176
Mca07784	11	30	12	33
Mca07785	6696	10085	11170	10701
Mca07786	1592	1890	1294	1571
Mca07787	414	460	317	367
Mca07788	277	522	324	491
Mca07789	55	68	107	151
Mca07790	0	0	0	0
Mca07791	2	10	0	0
Mca07792	15643	22246	14227	12485
Mca07793	722	1087	844	1122
Mca07794	33	45	83	97
Mca07795	292	401	476	462
Mca07796	2	12	31	24
Mca07797	13	9	24	45
Mca07798	0	0	0	0
Mca07799	1993	2495	1526	1629
Mca07800	88	225	250	278
Mca07801	820	1160	720	913
Mca07802	1352	1791	1195	1132
Mca07803	0	0	0	0
Mca07804	57	83	22	5
Mca07805	118	195	199	193
Mca07806	931	1288	1388	1834
Mca07807	712	825	1040	1294
Mca07808	2119	2793	2799	2908
Mca07809	5320	7427	4870	5943
Mca07810	1354	1919	1289	1417
Mca07811	638	858	595	643
Mca07812	3	6	19	54
Mca07813	405	500	641	759
Mca07814	5786	7279	3161	3268
Mca07815	0	0	0	0
Mca07816	0	0	0	0
Mca07817	246	386	493	459
Mca07818	1977	2461	1203	1210
Mca07819	4926	6143	4734	5360
Mca07820	2924	3652	3005	3160
Mca07821	110	211	173	153
Mca07822	1779	2536	2467	2648
Mca07823	2	9	29	12
Mca07824	0	0	0	0
Mca07825	0	1	6	0
Mca07826	0	0	0	0
Mca07827	4	0	2	0
Mca07828	0	0	0	0
Mca07829	0	0	0	0
Mca07830	0	0	0	0
Mca07831	0	0	0	0
Mca07832	0	0	0	2
Mca07833	0	0	0	0
Mca07834	127	145	259	348
Mca07835	6	6	10	12
Mca07836	0	0	0	0
Mca07837	4	6	2	7
Mca07838	30	56	100	158
Mca07839	1	1	1	2
Mca07840	41	92	162	185
Mca07841	0	0	0	0
Mca07842	222	317	389	422
Mca07843	6	13	9	21
Mca07844	0	3	0	1
Mca07845	0	3	5	4
Mca07846	0	0	0	0
Mca07847	0	2	2	4
Mca07848	0	0	0	0
Mca07849	0	0	0	0
Mca07850	0	0	0	0
Mca07851	2	2	2	2
Mca07852	1	5	15	9
Mca07853	0	0	0	0
Mca07854	1063	1572	1663	1658
Mca07855	1694	2301	2010	2640
Mca07856	603	806	995	1039
Mca07857	105	199	99	132
Mca07858	126	191	178	189
Mca07859	0	0	0	0
Mca07860	7922	11212	13466	15700
Mca07861	0	0	0	0
Mca07862	0	0	0	0
Mca07863	12	13	0	2
Mca07864	63104	87830	19574	22305
Mca07865	288	334	418	482
Mca07866	174	258	262	318
Mca07867	4848	5569	4660	5399
Mca07868	2524	3794	3005	3340
Mca07869	0	2	0	3
Mca07870	0	0	0	0
Mca07871	0	0	1	0
Mca07872	0	0	2	0
Mca07873	1156	1579	1081	1167
Mca07874	233	456	316	310
Mca07875	3483	4623	5040	6725
Mca07876	351	531	448	513
Mca07877	4	10	7	16
Mca07878	891	1199	1370	1653
Mca07879	0	0	0	0
Mca07880	7	6	9	15
Mca07881	272	481	430	540
Mca07882	2892	3919	2347	2463
Mca07883	4	18	18	13
Mca07884	169	209	594	1006
Mca07885	4	3	0	6
Mca07886	86	95	77	79
Mca07887	4642	5960	4436	5540
Mca07888	206	343	460	520
Mca07889	0	0	0	0
Mca07890	0	0	0	0
Mca07891	0	0	0	2
Mca07892	0	0	0	0
Mca07893	0	0	2	0
Mca07894	991	1268	1283	1582
Mca07895	455	577	440	498
Mca07896	91	175	115	173
Mca07897	14	22	16	39
Mca07898	49	64	68	97
Mca07899	4031	4670	3194	3650
Mca07900	5539	7367	5252	5834
Mca07901	15	15	27	22
Mca07902	38	69	67	86
Mca07903	0	0	0	0
Mca07904	0	0	0	0
Mca07905	0	0	2	2
Mca07906	11	20	14	15
Mca07907	1455	1990	1879	2341
Mca07908	689	1008	1158	1421
Mca07909	984	1354	1063	1160
Mca07910	784	963	2340	3788
Mca07911	107	155	167	210
Mca07912	1007	1279	1015	1412
Mca07913	2824	3786	4167	5596
Mca07914	0	0	0	0
Mca07915	10	22	0	0
Mca07916	105	133	107	96
Mca07917	0	0	0	0
Mca07918	3	2	16	15
Mca07919	160	262	962	2355
Mca07920	0	0	0	0
Mca07921	276	362	380	491
Mca07922	17279	23435	17282	17936
Mca07923	251	357	431	506
Mca07924	407	645	847	832
Mca07925	370	518	632	812
Mca07926	52	65	160	195
Mca07927	4	0	0	2
Mca07928	0	0	0	2
Mca07929	0	0	0	0
Mca07930	0	2	0	2
Mca07931	0	0	0	0
Mca07932	6	3	4	8
Mca07933	9922	16199	12196	12322
Mca07934	0	0	0	0
Mca07935	0	0	0	0
Mca07936	0	0	0	0
Mca07937	96	130	108	151
Mca07938	424	648	579	724
Mca07939	598	756	843	953
Mca07940	190	298	434	553
Mca07941	0	0	0	0
Mca07942	26	24	40	139
Mca07943	557	710	890	1548
Mca07944	157	237	257	327
Mca07945	470	758	833	891
Mca07946	597	752	853	1115
Mca07947	2492	3471	2252	2885
Mca07948	133	266	259	289
Mca07949	1887	2512	1857	2248
Mca07950	1960	2706	1893	1613
Mca07951	1560	1988	1941	2349
Mca07952	0	0	2	0
Mca07953	2	4	0	1
Mca07954	0	5	0	2
Mca07955	0	0	0	0
Mca07956	0	0	0	0
Mca07957	2	0	0	6
Mca07958	1	2	0	3
Mca07959	0	2	2	0
Mca07960	0	6	3	2
Mca07961	0	0	0	0
Mca07962	0	0	1	0
Mca07963	0	1	8	8
Mca07964	40	53	128	115
Mca07965	200	339	632	770
Mca07966	13384	17749	20648	47569
Mca07967	1413	1882	3033	4442
Mca07968	4	9	14	27
Mca07969	709	823	978	1241
Mca07970	0	0	0	0
Mca07971	2517	3211	3599	3711
Mca07972	4831	6172	4664	4816
Mca07973	44	47	57	87
Mca07974	0	0	5	0
Mca07975	2342	2918	2184	2277
Mca07976	30	76	46	52
Mca07977	10	10	13	12
Mca07978	10782	12711	6844	8689
Mca07979	30	48	63	61
Mca07980	3132	4759	5060	6062
Mca07981	24	54	48	31
Mca07982	20	36	34	30
Mca07983	1450	1775	2157	3571
Mca07984	291	391	504	1109
Mca07985	318	444	358	450
Mca07986	2053	3053	2587	2910
